ID;time;met
P000_1;14.5.2019 0:00;0
P000_1;14.5.2019 0:00;0
P000_1;14.5.2019 0:01;0
P000_1;14.5.2019 0:01;0
P000_1;14.5.2019 0:02;0
P000_1;14.5.2019 0:02;0
P000_1;14.5.2019 0:03;0
P000_1;14.5.2019 0:03;0
P000_1;14.5.2019 0:04;0
P000_1;14.5.2019 0:04;0
P000_1;14.5.2019 0:05;0
P000_1;14.5.2019 0:05;0
P000_1;14.5.2019 0:06;0
P000_1;14.5.2019 0:06;0
P000_1;14.5.2019 0:07;0
P000_1;14.5.2019 0:07;0
P000_1;14.5.2019 0:08;0
P000_1;14.5.2019 0:08;0
P000_1;14.5.2019 0:09;0
P000_1;14.5.2019 0:09;0
P000_1;14.5.2019 0:10;0
P000_1;14.5.2019 0:10;0
P000_1;14.5.2019 0:11;0
P000_1;14.5.2019 0:11;0
P000_1;14.5.2019 0:12;0
P000_1;14.5.2019 0:12;0
P000_1;14.5.2019 0:13;0
P000_1;14.5.2019 0:13;0
P000_1;14.5.2019 0:14;0
P000_1;14.5.2019 0:14;0
P000_1;14.5.2019 0:15;0
P000_1;14.5.2019 0:15;0
P000_1;14.5.2019 0:16;0
P000_1;14.5.2019 0:16;0
P000_1;14.5.2019 0:17;0
P000_1;14.5.2019 0:17;0
P000_1;14.5.2019 0:18;0
P000_1;14.5.2019 0:18;0
P000_1;14.5.2019 0:19;0
P000_1;14.5.2019 0:19;0
P000_1;14.5.2019 0:20;0
P000_1;14.5.2019 0:20;0
P000_1;14.5.2019 0:21;0
P000_1;14.5.2019 0:21;0
P000_1;14.5.2019 0:22;0
P000_1;14.5.2019 0:22;0
P000_1;14.5.2019 0:23;0
P000_1;14.5.2019 0:23;0
P000_1;14.5.2019 0:24;0
P000_1;14.5.2019 0:24;0
P000_1;14.5.2019 0:25;0
P000_1;14.5.2019 0:25;0
P000_1;14.5.2019 0:26;0
P000_1;14.5.2019 0:26;0
P000_1;14.5.2019 0:27;0
P000_1;14.5.2019 0:27;0
P000_1;14.5.2019 0:28;0
P000_1;14.5.2019 0:28;0
P000_1;14.5.2019 0:29;0
P000_1;14.5.2019 0:29;0
P000_1;14.5.2019 0:30;0
P000_1;14.5.2019 0:30;0
P000_1;14.5.2019 0:31;0
P000_1;14.5.2019 0:31;0
P000_1;14.5.2019 0:32;0
P000_1;14.5.2019 0:32;0
P000_1;14.5.2019 0:33;0
P000_1;14.5.2019 0:33;0
P000_1;14.5.2019 0:34;0
P000_1;14.5.2019 0:34;0
P000_1;14.5.2019 0:35;0
P000_1;14.5.2019 0:35;0
P000_1;14.5.2019 0:36;0
P000_1;14.5.2019 0:36;0
P000_1;14.5.2019 0:37;0
P000_1;14.5.2019 0:37;0
P000_1;14.5.2019 0:38;0
P000_1;14.5.2019 0:38;0
P000_1;14.5.2019 0:39;0
P000_1;14.5.2019 0:39;0
P000_1;14.5.2019 0:40;0
P000_1;14.5.2019 0:40;0
P000_1;14.5.2019 0:41;0
P000_1;14.5.2019 0:41;0
P000_1;14.5.2019 0:42;0
P000_1;14.5.2019 0:42;0
P000_1;14.5.2019 0:43;0
P000_1;14.5.2019 0:43;0
P000_1;14.5.2019 0:44;0
P000_1;14.5.2019 0:44;0
P000_1;14.5.2019 0:45;0
P000_1;14.5.2019 0:45;0
P000_1;14.5.2019 0:46;0
P000_1;14.5.2019 0:46;0
P000_1;14.5.2019 0:47;0
P000_1;14.5.2019 0:47;0
P000_1;14.5.2019 0:48;0
P000_1;14.5.2019 0:48;0
